text,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
The wind said Black Lives Matter ,"['the', 'wind', 'said', 'black', 'lives', 'matter']","[""the'"", 'wind', 'say', 'black', 'life', 'matter']",joy,2.0,0.5469999999999999,surprise,7.0,1.2619609106359482,joy,5.0
it’s not just about George Floyd he was just the straw that broke the camels back . ,"['it', 'is', 'not', 'just', 'about', 'george', 'floyd', 'he', 'was', 'just', 'the', 'straw', 'that', 'broke', 'the', 'camels', 'back']","['it', 'be', 'not', 'just', 'about', 'george', 'floyd', 'he', 'be', 'just', ""tha'"", 'straw', 'that', 'break', ""the'"", 'camel', 'back']",sadness,1.0,0.484,fear,8.0,1.5871677114624552,joy,4.0
Every other basic response: “We stand with our black employees :)” Ben & Jerry’s: “WE GOTTA FUCKIN SMASH WHITE SUPREMACY. FUCK THE KKK AND FUCK YOU. BLACK LIVES MATTER. OUR NEW FLAVOR IS CALLED FUCK THE POLICE. ITS GOT BLUEBERRIES”,"['every', 'other', 'basic', 'response', 'we', 'stand', 'with', 'our', 'black', 'employees', 'ben', '&', 'jerry', 'is', 'we', 'gotta', 'fuckin', 'smash', 'white', 'supremacy', 'fuck', 'the', 'kkk', 'and', 'fuck', 'you', 'black', 'lives', 'matter', 'our', 'new', 'flavor', 'is', 'called', 'fuck', 'the', 'police', 'its', 'got', 'blueberries']","['every', ""'other"", 'basic', 'response', ""we'"", 'stand', 'with', 'we', 'black', 'employee', 'ben', '&', 'jerry', 'be', ""we'"", 'gotta', 'fuckin', 'smash', 'white', 'supremacy', 'fuck', ""the'"", 'kkk', 'and', 'fuck', 'you', 'black', 'life', 'matter', 'we', 'new', 'flavor', 'be', 'call', 'fuck', ""the'"", 'police', 'its', 'get', 'blueberry']",fear,3.0,1.3119999999999998,surprise,27.0,4.753074820714723,joy,14.0
All 50 states plus 18 countries participated in #BlackLivesMatter protests as of today making it the largest civil rights movement in world history wow,"['all', '50', 'states', 'plus', '18', 'countries', 'participated', 'in', 'blacklives', 'matter', 'protests', 'as', 'of', 'today', 'making', 'it', 'the', 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']","['all', '50', ""'"", 'state', 'plus', '18', ""'"", 'country', 'participate', 'in', 'blacklive', 'matter', 'protest', 'as', 'of', 'today', 'make', 'it', ""the'"", 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']",,0.0,0.0,surprise,20.0,3.372270615050024,joy,9.0
This shit is real this gave me chills #blacklivesmatter #GeorgeFloyd #dcprotest,"['this', 'shit', 'is', 'real', 'this', 'gave', 'me', 'chills', '#blacklivesmatter', 'george', 'floyd', '#dcprotest']","['this', 'shit', 'be', 'real', 'this', 'give', ""me'"", 'chill', 'blacklivesmatter', 'george', 'floyd', '#dcprotest']",disgust,1.0,0.82,surprise,8.0,1.1837573085719568,,0.0
"Remember black lives matter not only when it comes to police brutality but in every aspect of society. BLM in the education system where schools receive insufficient funding. BLM in the health care system where too often black ppl, especially black women, receive improper care.","['remember', 'black', 'lives', 'matter', 'not', 'only', 'when', 'it', 'comes', 'to', 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'blm', 'in', 'the', 'education', 'system', 'where', 'schools', 'receive', 'insufficient', 'funding', 'blm', 'in', 'the', 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'women', 'receive', 'improper', 'care']","['remember', 'black', 'life', 'matter', 'not', 'only', 'when', 'it', 'come', ""to'"", 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'blm', 'in', ""the'"", 'education', 'system', 'where', 'school', 'receive', 'insufficient', 'funding', 'blm', 'in', ""the'"", 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'woman', 'receive', 'improper', 'care']",fear,2.0,1.25,surprise,27.0,5.069007611332567,joy,17.0
when I say BLACK LIVES MATTER. I’m NOT talking about an organization. I AM talking about the literal black lives that have been stolen the past 400+ years documented and undocumented. I AM talking about the black lives of those still living. That’s all...,"['when', 'i', 'say', 'black', 'lives', 'matter', 'i', 'am', 'not', 'talking', 'about', 'an', 'organization', 'i', 'am', 'talking', 'about', 'the', 'literal', 'black', 'lives', 'that', 'have', 'been', 'stolen', 'the', 'past', '400', 'years', 'documented', 'and', 'undocumented', 'i', 'am', 'talking', 'about', 'the', 'black', 'lives', 'of', 'those', 'still', 'living', 'that', 'is', 'all']","['when', ""i'"", 'say', 'black', 'life', 'matter', ""i'"", 'be', 'not', 'talk', 'about', 'a', 'organization', 'i', 'be', 'talk', 'about', ""the'"", 'literal', 'black', 'life', 'that', 'have', 'be', 'steal', ""the'"", 'past', '400', 'year', 'document', 'and', 'undocumented', ""i'"", 'am', 'talk', 'about', ""the'"", 'black', 'life', 'of', 'those', 'still', 'living', 'that', 'be', 'all']",anger,2.0,1.0150000000000001,surprise,19.0,3.3784932545957957,joy,12.0
The policeman said “You can record this because I need other people to hear this” Please stop blaming peaceful protestors and the Black Lives Matter movement for the destruction of various cities. A large amount of the destruction have come from white supremist groups. ,"['the', 'policeman', 'said', 'you', 'can', 'record', 'this', 'because', 'i', 'need', 'other', 'people', 'to', 'hear', 'this', 'please', 'stop', 'blaming', 'peaceful', 'protestors', 'and', 'the', 'black', 'lives', 'matter', 'movement', 'for', 'the', 'destruction', 'of', 'various', 'cities', 'a', 'large', 'amount', 'of', 'the', 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'groups']","[""the'"", 'policeman', 'say', 'you', 'can', 'record', 'this', 'because', ""i'"", 'need', ""'other"", 'people', ""to'"", 'hear', 'this', 'please', 'stop', 'blame', 'peaceful', 'protestor', 'and', ""the'"", 'black', 'life', 'matter', 'movement', 'for', ""the'"", 'destruction', 'of', 'various', 'city', ""a'"", 'large', 'amount', 'of', ""the'"", 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'group']",joy,3.0,1.1829999999999998,surprise,29.0,4.489384466517757,joy,21.0
"Since George Floyd was murdered 49 days ago, there have been AT LEAST 767 documented cases of police brutality. That’s almost 16 a day. ","['since', 'george', 'floyd', 'was', 'murdered', '49', 'days', 'ago', 'there', 'have', 'been', 'at', 'least', '767', 'documented', 'cases', 'of', 'police', 'brutality', 'that', 'is', 'almost', '16', 'a', 'day']","['since', 'george', 'floyd', 'be', 'murder', '49', 'day', 'ago', 'there', 'have', 'be', 'at', 'least', '767', 'document', 'case', 'of', 'police', 'brutality', 'that', 'be', 'almost', '16', 'a', 'day']",fear,4.0,2.25,anger,16.0,3.040339337978161,joy,5.0
"look who my sister caught at Cub Foods in Plymouth. J. Alexander Keung, one of the officers who lynched #GeorgeFloyd in cold blood. ","['look', 'who', 'my', 'sister', 'caught', 'at', 'cub', 'foods', 'in', 'plymouth', 'j.', 'alexander', 'keung', 'one', 'of', 'the', 'officers', 'who', 'lynched', 'georgefloyd', 'in', 'cold', 'blood']","['look', ""who'"", 'my', 'sister', 'catch', 'at', 'cub', 'food', 'in', 'plymouth', 'j.', 'alexander', 'keung', 'one', 'of', ""the'"", 'officer', ""who'"", 'lynch', 'georgefloyd', 'in', 'cold', 'blood']",fear,2.0,1.2440000000000002,surprise,17.0,3.1163569213259112,joy,4.0
