ori_sentiment,tweet_text,sentiment
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly.,joy
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death.",fear
anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,anger
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,sadness
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,disgust
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,shame
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered.,guilt
joy,After my girlfriend had taken her exam we went to her parent is place.,joy
fear,"When, for the first time I realized the meaning of death.",fear
anger,When a car is overtaking another and I am forced to drive off the road.,anger
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand.",sadness
disgust,When I found a bristle in the liver paste tube.,disgust
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",shame
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time.,guilt
joy,When I pass an examination which I did not think I did well.,joy
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",fear
anger,When one is unjustly accused of something one has not done.,anger
sadness,When one is studies seem hopelessly difficult and uninteresting.,sadness
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",disgust
shame,"When one has been unjust, stupid towards someone else.",shame
guilt,When one has neglected or been unjust to a good friend.,guilt
joy,Passing an exam I did not expect to pass.,joy
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable.,fear
guilt,When excuses are necessary and I get out of doing it myself.,guilt
joy,When I had my children.,joy
fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,fear
anger,When my partner was attacked and lost three teeth.,anger
sadness,When I see children on T.V from areas devastated by drought and war.,sadness
disgust,When I nearly walked on a blindworm and then saw it crawl away.,disgust
shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,shame
guilt,"I experience a sense of guilt as my middle son can not express himself like other children, neither verbally nor in writing.",guilt
joy,When my child was born.,joy
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head.",fear
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.",anger
sadness,Failing an examination.,sadness
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness.",disgust
shame,"When, as an adult I have been caught lying or behaving badly.",shame
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.",guilt
joy,When I saw a person I had not seen for a long time.,joy
fear,"When, as a child, I was nearly knocked down by a car.",fear
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way.",anger
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else.",sadness
disgust,When one learns through the mass media all the wars and killing going on in the world.,disgust
shame,"I lied, to be precise I cancelled a meeting with a good friend.",shame
guilt,When one lets friends down,guilt
joy,When I was accepted for a course on finance and accounting.,joy
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",fear
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",anger
sadness,When I was not accepted as a student in finance and accounting.,sadness
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted.,disgust
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,shame
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him.,guilt
joy,Passed an exam by 2 points.,joy
