tweet,affect_dimension,intensity_score,ori_sentiment,tweet_text
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,anger,  shut up hashtags are cool offended
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,anger,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao
Lol Adam the Bull with his fake outrage...,anger,0.417,anger,Lol Adam the Bull with his fake outrage...
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0.354,anger, passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. that is rough stuff
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,0.438,anger, lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,anger,I need a sushi date  an olive guarded date  and a Rockys date 
"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0.354,anger,"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you"
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0.333,anger, \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg Winner!
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,0.556,anger, it is very telling that racist bigots always resort to the insult 'fag' like that is worse than being a racist bigot.
Follow up. Follow through. Be #relentless. #success,anger,0.125,anger,Follow up. Follow through. Be relentless. success
@JustinRow10 dude the new madden 17? Haha,anger,0.231,anger, dude the new madden 17? Haha
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger,0.583,anger,    if he can't come to my Mum'a 60th after 25k tweets then why should I  bitter soreloser
Lol little things like that make me so angry x,anger,0.604,anger,Lol little things like that make me so angry x
One more day tiff.. One more day!,anger,0.208,anger,One more day tiff.. One more day!
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0.348,anger,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me.."
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,0.414,anger,Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,0.479,anger,Women don't like girls because we resent them for looking so great/we wish we still looked like that  washed
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,anger," where is your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror"
I swear I got anger issues but my heart big AF...,anger,0.604,anger,I swear I got anger issues but my heart big AF...
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,0.438,anger,75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.
This is a joke @SomersetCCC #fuming,anger,0.688,anger,This is a joke  fuming
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,anger,I just love it when people make plans for me without actually including me in this process rage
"Be quick to #listen, slow to #speak, and slow to .",anger,0.121,anger,"Be quick to listen, slow to speak, and slow to ."
"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,0.417,anger," it will be like burning rap albums; they will have to buy it first, but gosh darn it, they have to get rid of it."
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.472,anger,"  Haha.... Actually, after the Doggies i am barracking for Anyone But GWS! bitter"
my wasp sting is so itchy,anger,0.35600000000000004,anger,my wasp sting is so itchy
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,0.396,anger,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! "
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,0.542,anger, Don King is an insult to the intelligence of the Black Community.  What are these people thinking?
@Arsenal Giroud's beard is making me angry.,anger,0.625,anger, giroud is beard is making me angry.
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,anger, i will be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi FTW
"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,0.396,anger," Well, not Archie. No offense but he is kinda old."
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph,anger,0.25,anger,  wow. not heard this in forever. Random but. great  xph
Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger,0.542,anger,Me and these burns that I pick up off the pitches don't get on at all like  sting
ICQ is just making me mad!!!😤 #icq #angry,anger,0.75,anger,ICQ is just making me mad!!! icq angry
"If angry, bash out your frustration on the pastry #GBBO",anger,0.53,anger,"If angry, bash out your frustration on the pastry GBBO"
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,anger,. than straight people. Even the arse straight guys who think that means a threesome is fine. angry fuming
@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,0.442,anger, oh dear I have to watch this the woman with the pout did well
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,0.458,anger,He totally knew about it'. Trump finally gets revenge for his son-in-law is prosecution/imprisonment and throws Christie under the bus.
@Dak2future decorations are up all over Jersey already #outrage,anger,0.562,anger, decorations are up all over Jersey already outrage
We're going to get City in the next round for a revenge.,anger,0.438,anger,we are going to get City in the next round for a revenge.
@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0.389,anger, or in my case a raging moody cow lol why i buy moody cow socks lol
No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂,anger,0.479,anger,No respect for people who force their opinions on to others yet get offended when someone does the same to them 
Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger,0.479,anger,here is a tip for everyone: Stop being offended. End. offended quit youredumb liveyourownlife
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,0.708,anger,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. rant angry"
"Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.",anger,0.741,anger,"Ultimately, Keith Scott wasn't the man they were there to hand an arrest warrant to. that is what we know. that is enough to cause outrage."
I genuinely think I have anger issues,anger,0.604,anger,I genuinely think I have anger issues
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger,0.458,anger,Nick said he is territorial and he will growl if someone gets too close to me hesananimal
"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger,0.562,anger," 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily."
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger,0.5,anger,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool."
"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury",anger,0.396,anger,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  KGB G-town fury"
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger,0.458,anger,When you forget to mention you were bought dreamboys tickets  raging
